VM;PD;TYPE;DATE;TIME;ID;UUID;STATE;SIZE;GB
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;11:40:01;570310902;ab446a57-7930-463b-8856-f96402d4c23f;AVAILABLE;689497600;0.6421446800231934
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;10:40:03;570134639;ffccd922-43ae-42dd-8ce1-e653aa332169;AVAILABLE;620041728;0.5774588584899902
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;09:40:03;569948580;bbd2cf40-6307-408b-b4f4-92d75e66bc29;AVAILABLE;570870784;0.5316648483276367
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;08:40:02;569761675;816e5a1b-6b6a-47f7-8c31-214259c11e0c;AVAILABLE;551994880;0.5140852928161621
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-11;18:00:19;566907617;4f65439c-117e-4d82-a856-45edde2d48f0;AVAILABLE;318935040;0.2970314025878906
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-10;18:00:10;561759522;9c79a668-3050-4805-9c03-851ce5e03bbb;AVAILABLE;378080256;0.3521146774291992
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-09;18:00:27;556767316;4e928b87-144e-4e52-9c7f-93207ca174b7;AVAILABLE;212196864;0.19762372970581055
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-08;18:00:03;552631473;d7789585-0d6f-46ff-a583-ddcb2ef89312;AVAILABLE;203133952;0.18918323516845703
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-07;18:00:11;548290031;cebd4225-743a-4f26-97a4-42a01c80f1f3;AVAILABLE;196005376;0.18254423141479492
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-06;18:00:15;543883541;eaf95562-3292-4397-9a04-2e0287f7fbb8;AVAILABLE;265082880;0.24687767028808594
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-05;18:00:10;539302287;f8d2dfc4-18ea-420a-a76f-34b704f8aabe;AVAILABLE;233670656;0.2176227569580078
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-04;18:00:20;534659809;490a16a2-8cf1-46e0-afa1-74953f0e0633;AVAILABLE;241539072;0.22495079040527344
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-03;18:00:05;529752122;0f09262e-5c70-4a69-9bd7-81e71007e499;AVAILABLE;192609792;0.1793818473815918
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-02;18:00:04;524926823;a1b042ed-6f83-4127-8ca9-e0870e9c80ca;AVAILABLE;185021440;0.17231464385986328
SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-01;18:00:03;520761375;066f9fc6-d5df-4216-b435-35b9745af33b;AVAILABLE;197643776;0.18407011032104492
