HOST;VM;PD;TYPE;DATE;TIME;EDATE;ETIME;ID;UUID;STATE;SIZE;GB
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;16:40:03;2022-01-12;20:40:03;571203924;4a3eb2e1-bb5e-420d-bf57-a4d156002200;AVAILABLE;842085376;=L2/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;15:40:01;2022-01-12;19:40:01;571017731;95ed3ace-2f12-4394-8488-26cee890111a;AVAILABLE;582607360;=L3/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;14:40:01;2022-01-12;18:40:01;570822019;01fd75d8-4690-480b-b9b7-dbef5aa4a208;AVAILABLE;653228544;=L4/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-12;13:40:03;2022-01-12;17:40:03;570654292;fb0922c6-1509-4a71-964d-d05c814960a2;AVAILABLE;617080320;=L5/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-11;18:00:19;2022-01-25;18:00:19;566907617;4f65439c-117e-4d82-a856-45edde2d48f0;AVAILABLE;318935040;=L6/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-10;18:00:10;2022-01-24;18:00:10;561759522;9c79a668-3050-4805-9c03-851ce5e03bbb;AVAILABLE;378080256;=L7/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-09;18:00:27;2022-01-23;18:00:27;556767316;4e928b87-144e-4e52-9c7f-93207ca174b7;AVAILABLE;212196864;=L8/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-08;18:00:03;2022-01-22;18:00:03;552631473;d7789585-0d6f-46ff-a583-ddcb2ef89312;AVAILABLE;203133952;=L9/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-07;18:00:11;2022-01-21;18:00:11;548290031;cebd4225-743a-4f26-97a4-42a01c80f1f3;AVAILABLE;196005376;=L10/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-06;18:00:15;2022-01-20;18:00:15;543883541;eaf95562-3292-4397-9a04-2e0287f7fbb8;AVAILABLE;265082880;=L11/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-05;18:00:10;2022-01-19;18:00:10;539302287;f8d2dfc4-18ea-420a-a76f-34b704f8aabe;AVAILABLE;233670656;=L12/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-04;18:00:20;2022-01-18;18:00:20;534659809;490a16a2-8cf1-46e0-afa1-74953f0e0633;AVAILABLE;241539072;=L13/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-03;18:00:05;2022-01-17;18:00:05;529752122;0f09262e-5c70-4a69-9bd7-81e71007e499;AVAILABLE;192609792;=L14/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-02;18:00:04;2022-01-16;18:00:04;524926823;a1b042ed-6f83-4127-8ca9-e0870e9c80ca;AVAILABLE;185021440;=L15/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2022-01-01;18:00:03;2022-01-15;18:00:03;520761375;066f9fc6-d5df-4216-b435-35b9745af33b;AVAILABLE;197643776;=L16/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2021-12-31;18:00:22;2022-01-14;18:00:22;516692807;c7f7740c-5cc8-4b2e-acd8-ba6f2995e524;AVAILABLE;218649600;=L17/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2021-12-30;18:00:01;2022-01-13;18:00:01;512538508;d40afb5f-2465-495f-bebb-9636252684fb;AVAILABLE;234587136;=L18/1024/1024/1024
192.168.136.10;SRVAAEXCHC04;SRVAAEXCHC04;SNP;2021-12-29;18:00:32;2022-01-12;18:00:32;508250187;c70ffa61-4faa-4040-b705-38ea818e809e;AVAILABLE;227080192;=L19/1024/1024/1024
192.168.136.10;SRVAAEXCHC05;SRVAAEXCHC05;SNP;2022-01-12;16:41:03;2022-01-12;20:41:03;571212835;28d87497-0319-490b-82d4-219c3f9b49f1;AVAILABLE;919128576;=L20/1024/1024/1024
192.168.136.10;SRVAAEXCHC05;SRVAAEXCHC05;SNP;2022-01-12;15:41:01;2022-01-12;19:41:01;571018264;46559370-f78a-4263-9c37-a1e89b11f1a5;AVAILABLE;655684096;=L21/1024/1024/1024
192.168.136.10;SRVAAEXCHC05;SRVAAEXCHC05;SNP;2022-01-12;14:41:02;2022-01-12;18:41:02;570830836;947eb1b2-d4e7-4f0a-8931-a1d18e03d429;AVAILABLE;587803136;=L22/1024/1024/1024
192.168.136.10;SRVAAEXCHC05;SRVAAEXCHC05;SNP;2022-01-12;13:41:04;2022-01-12;17:41:04;570654869;5e916e4c-5679-4ec5-8bfb-a68dbacc8673;AVAILABLE;641107968;=L23/1024/1024/1024
192.168.136.10;SRVAAEXCHC05;SRVAAEXCHC05;SNP;2022-01-11;18:00:40;2022-01-25;18:00:40;566907917;dcd37400-7ef4-4597-b9cc-2dec6bca884e;AVAILABLE;224174080;=L24/1024/1024/1024
192.168.136.10;SRVAAEXCHC05;SRVAAEXCHC05;SNP;2022-01-10;18:00:29;2022-01-24;18:00:29;561759822;512e3096-2ca3-4b67-8198-84a257749dbc;AVAILABLE;215174656;=L25/1024/1024/1024
192.168.136.10;SRVAAEXCHC05;SRVAAEXCHC05;SNP;2022-01-09;18:00:08;2022-01-23;18:00:08;556767616;cb13e4f2-1a8f-4469-877b-d9ca88639d5d;AVAILABLE;168668672;=L26/1024/1024/1024
